Operation_FileAccessed,Operation_FileModified,Operation_FileUploaded,Operation_FileDownloaded,Operation_MoveToDeletedItems,IsRiskyHour,Operation_UserLoginFailed,GeoLocation_IND,ClientIP_203.28.245.168,ClientIP_192.168.1.100,ResultStatus_unknown,IsThreat
True,False,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,True,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,False,False,False,False
False,False,False,False,False,1,True,False,False,True,False,True
False,False,True,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,False,False,True,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,True,False,False,True,False,True
False,False,False,False,False,1,False,True,False,False,True,True
False,False,False,False,False,0,False,True,False,False,True,True
False,True,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,0,False,True,True,False,False,False
False,False,False,False,False,0,False,True,False,False,False,False
False,False,False,False,False,1,False,True,False,False,True,True
False,False,False,False,False,1,False,True,False,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,1,False,True,False,False,True,True
True,False,False,False,False,1,False,True,False,False,False,True
False,False,True,False,False,1,False,True,False,False,False,True
False,False,False,False,False,0,False,True,False,False,False,True
False,False,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,False,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
True,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,0,False,True,False,False,False,True
False,False,False,False,False,0,False,True,False,False,True,True
True,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,0,False,True,False,False,False,False
False,False,False,False,False,1,False,True,True,False,True,True
True,False,False,False,False,0,False,True,True,False,False,True
False,False,True,False,False,1,False,True,False,False,False,True
False,True,False,False,False,0,False,True,False,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,0,False,True,False,False,False,False
False,False,False,False,False,0,False,True,True,False,False,False
False,True,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
True,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,0,True,False,False,True,False,True
False,False,False,False,False,1,False,True,False,False,False,True
True,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
True,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,0,False,True,True,False,False,False
True,False,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,0,False,True,True,False,False,False
False,False,True,False,False,0,False,True,False,False,False,True
False,False,False,False,False,0,False,True,True,False,False,False
False,False,False,False,False,0,False,True,True,False,False,False
False,False,False,False,False,0,False,True,False,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,0,False,True,False,False,True,True
False,False,False,False,False,0,False,True,False,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,False,False,True,True
True,False,False,False,False,0,False,True,False,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,0,False,True,False,False,True,True
False,False,False,False,False,1,False,True,False,False,True,True
False,False,False,False,False,0,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
True,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,1,False,True,True,False,True,True
True,False,False,False,False,1,False,True,True,False,False,True
False,False,False,False,False,1,False,True,False,False,True,True
False,False,False,False,False,0,False,True,False,False,True,True
False,False,False,False,False,0,False,True,True,False,True,True
False,False,False,False,False,0,False,True,True,False,False,False
False,False,False,False,False,1,False,True,False,False,False,False
False,False,True,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,False,False,True,True
False,False,False,False,False,1,True,False,False,True,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,False,False,False,False
False,False,False,False,False,0,False,True,True,False,False,False
False,False,False,False,False,0,False,True,False,False,False,False
False,False,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,0,False,True,True,False,False,False
True,False,False,False,False,1,False,True,True,False,False,True
True,False,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,0,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
False,False,False,False,False,1,False,True,True,False,False,False
True,False,False,False,False,1,False,True,False,False,False,True
False,False,False,False,False,1,True,False,False,True,False,True
True,False,False,False,False,1,False,True,False,False,False,True
True,False,False,False,False,1,False,True,False,False,False,True
